pn,0,80 81 83
pn,1,80_92 82_94 84_96
pn,2,80 80 80
pn,3,80_85 59_66_81_85_88_101 69_107 69_71 83
pn,4,80_92_113_1_6_10 97_113_1_6_10 92_95_113_1_6_10 92_95_99_104_112 99_104
pn,5,80 79 65_73 65_74 65_77
pn,6,80_118 80_82 94 95 94
pn,7,80_95_111_116_121 75_78_95_111_116_121 75_78_82_87_95 82_87 61_68_83_87_90_103
pn,8,80 81 80 66_74 66_75
pn,9,80 44_49_52_97 44_49_52_87_95 87_95 44_49_57_100
pn,10,80_83_87_92_100 87_92 66_73_88_92_95_108 76_114 76_78
pn,11,80_87_102_106_109_122 91 90_92 104 105
pn,12,80_92 82 75_82 82 83
pn,13,80_87 87 88 77_89_109_126_3_7 94_109_126_3_7
pn,14,80 68_71_78 63_68_73_109_116_118 63_68_73_116_118 82_118_121
pn,15,80 81 70_82_102_118_124 87_102_118_124 82_85_102_118_124
pn,16,80_87_92_127_7 127_7 8_14_18_24 83_87_96_7 92
pn,17,80 73_80 80 81 70_82_102_118_124
pn,18,80 81 82 83
pn,19,80 79 78 77
pn,20,80 75 84 80 75
pn,21,80 89 85 80
pn,22,80 88 83 92 88
pn,23,80 81 80 81
pn,24,80 77 85 80 89
pn,25,80 79 80 79 80
pn,26,80_84_85_90 80_84_85_90 80_84_85_90 80_84_85_90 80_84_85_90
pn,27,80 75 72 80 75
pn,28,80 76 71 68 76
pn,29,80 92 80 92
