0,78_83 75_83
1,37_58 37_58_64
2,35_59 35_59_63 35_59_66
3,46_52_64_66_73 46_54_64_66_73 46_58_64_66_73
4,53_57_60_69 53_69_81
5,53_57_60_77 53_77_89
6,47_54_63_66_71 47_59_63_66_71
7,52_71 52_80 80 76 64_83 80_83 76_83
8,37_58_64 37_58_66
9,47_51_63_66_71 47_54_63_66_71
10,82_85 78_85
11,47_83 83 78 59_87 83_87 78_87
12,35_59_63 35_59_66 66 63 66
13,57_61_64_67_69 69_81
14,35_59_66 66 63 66 35_59 35_59_63
15,75 76
16,45_52 45_57
17,76 71 74 72 45_69
18,45_69 45_52
19,81_93 79_91 81_93 79_91 81_93 79_91 81_93 79_91 81_93
20,64_67_72_84 64_67_72_83
21,56 55
22,53_56_60 53_56_59 53_56_62 53_56_68
23,52_55_61 52_55_60
24,51 53
25,51_63 51_58
